unique_id,filename,source,corpus,date,word_count,path
FED_0225,FED_0225-2024-01-17.txt,FED,FED,2024-01-17,971,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0225-2024-01-17.txt
FED_0035,FED_0035-2025-05-09.txt,FED,FED,2025-05-09,4171,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0035-2025-05-09.txt
FED_0212,FED_0212-2023-08-05.txt,FED,FED,2023-08-05,687,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0212-2023-08-05.txt
FED_0115,FED_0115-2024-10-09.txt,FED,FED,2024-10-09,4200,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0115-2024-10-09.txt
FED_0055,FED_0055-2021-02-25.txt,FED,FED,2021-02-25,2813,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0055-2021-02-25.txt
FED_0163,FED_0163-2023-06-22.txt,FED,FED,2023-06-22,796,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0163-2023-06-22.txt
FED_0277,FED_0277-2024-10-10.txt,FED,FED,2024-10-10,3848,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0277-2024-10-10.txt
FED_0013,FED_0013-2025-07-17.txt,FED,FED,2025-07-17,3494,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0013-2025-07-17.txt
FED_0419,FED_0419-2022-10-20.txt,FED,FED,2022-10-20,1179,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0419-2022-10-20.txt
FED_0072,FED_0072-2021-10-12.txt,FED,FED,2021-10-12,1713,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0072-2021-10-12.txt
FED_0269,FED_0269-2025-12-15.txt,FED,FED,2025-12-15,4593,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0269-2025-12-15.txt
FED_0423,FED_0423-2024-09-30.txt,FED,FED,2024-09-30,2309,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0423-2024-09-30.txt
FED_0320,FED_0320-2024-06-25.txt,FED,FED,2024-06-25,762,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0320-2024-06-25.txt
FED_0067,FED_0067-2021-09-27.txt,FED,FED,2021-09-27,3497,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0067-2021-09-27.txt
FED_0158,FED_0158-2023-11-08.txt,FED,FED,2023-11-08,2586,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0158-2023-11-08.txt
FED_0270,FED_0270-2025-11-19.txt,FED,FED,2025-11-19,2313,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0270-2025-11-19.txt
FED_0470,FED_0470-2024-08-23.txt,FED,FED,2024-08-23,4684,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0470-2024-08-23.txt
FED_0159,FED_0159-2023-04-04.txt,FED,FED,2023-04-04,523,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0159-2023-04-04.txt
FED_0028,FED_0028-2022-04-05.txt,FED,FED,2022-04-05,3828,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0028-2022-04-05.txt
